Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),year
0500000US36005,36005,"Bronx County, New York",472464,1797,310610,2101,34264,474,38431,684,58739,1174,22863,801,47325,477,52161,658,73674,1248,33944,545,2010
0500000US36047,36047,"Kings County, New York",903991,2532,581345,3562,43567,444,48777,600,61158,827,31250,453,62656,523,69252,742,84616,1064,47353,617,2010
0500000US36061,36061,"New York County, New York",732204,3587,300147,3093,64971,675,75629,1280,126641,3032,58269,1024,122620,1358,161893,2826,222672,4511,94121,1304,2010
0500000US36081,36081,"Queens County, New York",774311,2026,527510,3522,55291,482,62459,598,71419,632,38032,912,70208,495,77569,661,86864,860,49411,761,2010
0500000US36085,36085,"Richmond County, New York",164279,1066,122677,1322,71084,1130,83264,1389,94277,1491,35805,1348,86604,1048,97854,1317,109437,1624,49140,1646,2010
0500000US36005,36005,"Bronx County, New York",471923,1966,310909,2520,34744,550,39120,690,60648,1315,22950,757,48609,528,53527,682,76024,1304,34807,747,2011
0500000US36047,36047,"Kings County, New York",907785,2156,581085,2982,44593,404,50165,494,62857,917,32144,468,64845,487,71908,712,87969,1081,48838,599,2011
0500000US36061,36061,"New York County, New York",733393,3471,301691,3334,67204,820,77664,1657,132702,2694,61036,850,127411,1410,166090,2459,229004,3787,99072,1610,2011
0500000US36081,36081,"Queens County, New York",773130,2166,526275,2984,56406,570,64015,663,73457,803,38439,861,72324,558,79968,706,89785,951,50793,640,2011
0500000US36085,36085,"Richmond County, New York",163747,1082,122569,1389,72752,1142,84978,1401,96474,2130,37066,1507,88221,1186,99654,1578,111558,1977,49954,1686,2011
0500000US36005,36005,"Bronx County, New York",473281,1378,310803,2643,34300,509,38643,630,60351,1300,22778,741,48852,522,53862,657,77052,1271,35114,781,2012
0500000US36047,36047,"Kings County, New York",911995,2146,582628,3063,45215,420,50582,524,63482,844,32590,612,65770,457,72590,630,88817,1028,50261,631,2012
0500000US36061,36061,"New York County, New York",738131,3598,302793,3599,68370,810,81323,1770,137324,2786,61576,882,128721,1561,169186,3366,232646,5334,99199,1524,2012
0500000US36081,36081,"Queens County, New York",776311,1728,525813,3277,56780,450,64337,572,74123,749,38625,810,72891,554,80655,654,90594,782,51450,680,2012
0500000US36085,36085,"Richmond County, New York",163675,904,121782,1219,73496,1189,86015,1062,98124,1545,37416,1614,89078,1314,100572,1661,113793,2174,51292,1586,2012
0500000US36005,36005,"Bronx County, New York",474842,1560,312858,2316,34388,527,38843,595,60644,1268,22414,761,49421,515,54386,681,77482,1259,35468,756,2013
0500000US36047,36047,"Kings County, New York",916025,2106,583135,3052,46085,477,51581,544,65651,791,33337,681,67629,580,74741,777,92123,1234,51646,691,2013
0500000US36061,36061,"New York County, New York",736192,3751,301894,3851,69659,979,84627,1922,140315,2097,61929,892,130490,1858,172680,3532,235182,4894,99838,1725,2013
0500000US36081,36081,"Queens County, New York",778630,1982,525368,2781,57001,532,64371,753,74248,1110,39042,863,73521,508,81158,743,91064,915,52565,723,2013
