Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),year
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",873,92,431,102,68393,28077,56273,23803,84821,115564,74643,36495,83333,16665,85642,24647,N,N,78624,23674,2010
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",513,77,208,81,53826,4802,55864,2731,56568,3500,39750,36193,56029,10509,70100,22853,N,N,46433,14121,2010
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",3027,83,2224,182,15200,2841,18654,5582,23672,15666,10891,2282,23987,2844,26883,3578,N,N,14120,2691,2010
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",899,87,431,126,74219,21406,59236,26941,138250,82782,76111,33406,92765,17147,92470,23470,N,N,89960,28503,2011
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",566,77,220,86,57222,6762,59239,23184,63235,37065,51591,19541,65142,11482,83307,20026,N,N,53592,12462,2011
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",3009,92,2168,193,16748,4573,21333,4721,19410,10437,10605,1959,24956,4019,28841,4926,N,N,14213,2622,2011
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",933,89,504,131,70734,17896,61875,24957,89318,113991,62981,34622,102279,16780,103148,23740,N,N,96780,32379,2012
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",605,73,261,78,59676,10289,61359,26745,64079,59818,52500,21554,66559,12082,79980,20557,N,N,56376,11510,2012
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",2960,116,1999,223,17284,4312,21113,5650,22625,19776,9959,2779,24216,3129,28918,4428,N,N,14070,2406,2012
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",911,94,467,116,67054,11047,60875,18511,86667,102477,67321,21263,94176,16720,102026,21219,N,N,84004,22629,2013
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",561,69,238,75,61106,9782,62212,52696,100208,82905,53750,16405,71112,11271,89652,22186,N,N,56434,10352,2013
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",2942,101,1936,186,18390,4593,22137,6508,30978,30114,9550,1605,25352,3347,30992,4749,N,N,13440,2495,2013
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",1005,67,434,81,70737,11236,75625,23249,119519,61497,65662,23871,97683,13731,117253,21103,N,N,81008,17140,2014
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",625,42,193,54,57135,22119,78750,53455,106875,77189,54348,14516,73731,8863,96740,23489,N,N,62677,10922,2014
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",2972,79,1787,209,14002,3430,19899,7214,14891,22490,8762,967,23074,2801,29608,4366,N,N,11843,2519,2014
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",937,62,460,72,72841,15470,88333,27481,(X),(X),65417,14712,100358,13662,117028,19124,N,N,81913,17944,2015
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",640,37,237,58,57143,22247,73438,34959,(X),(X),53606,12473,74136,8779,87073,16998,N,N,65200,8507,2015
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",3012,86,1813,238,14000,5022,20139,4877,(X),(X),8729,935,29209,10394,39770,17114,N,N,12136,2886,2015
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",982,52,457,54,80625,17349,91080,27605,149853,31525,68250,14372,101560,9860,122470,16690,N,N,80844,11630,2016
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",611,49,255,63,66328,19596,59554,29971,77885,29619,56875,24852,74823,9337,83003,19173,N,N,66299,10428,2016
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",3064,57,1786,207,14229,6850,21068,6088,27670,9762,9451,1423,28023,8993,36924,15220,N,N,14126,3422,2016
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",954,63,476,67,93750,13927,102500,21219,154327,24657,79167,20123,106573,11161,121885,18135,N,N,87692,13734,2017
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",606,50,273,64,70833,12153,103125,46964,106875,72109,52383,16176,85054,12993,106630,23559,N,N,64868,12410,2017
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",3114,60,1823,223,13207,2450,20760,9226,29083,17596,9098,1507,27551,8622,36745,14610,N,N,13056,3305,2017
