title,year,date,url,comments,cats
"$100 million missing from Red Hook IFPS funding, by George Fiala",2016,Apr 5th,http://www.star-revue.com/100-million-missing-red-hook-ifps-funding-george-fiala/,,"['NY Rising', 'Sandy Related']"
10 Professional Tips for Designing and Organizing a Small Nursery,2019,May 6th,http://www.star-revue.com/10-professional-tips-for-designing-and-organizing-a-small-nursery/,0,['Kids']
"100th Birthday Celebration for a Great Smith Street Lady, by John Verrangia, Jr",2014,Sep 17th,http://www.star-revue.com/100th-birthday-celebration-great-smith-street-lady-john-verrangia-jr/,3,['Feature Story']
"12 Brooklyn students presented videos at the Justice Center, by Nathan Weiser",2018,Jan 16th,http://www.star-revue.com/12-brooklyn-students-presented-videos-justice-center/,,['Red Hook Justice Center']
"76th Precinct talks crime, shooting films, and parking",2018,Nov 16th,http://www.star-revue.com/76th-precinct-talks-crime-shooting-films-and-parking/,1,"['76th Precinct', 'NYCHA']"
A Beloved Sister Retires,2018,Oct 18th,http://www.star-revue.com/beloved-sister-retires/,,['Religious News']
"A Georgia Caterer in New York, by Emily Kluver",2016,Nov 13th,http://www.star-revue.com/georgia-caterer-new-york-emily-kluver/,,['Uncategorized']
A Glimpse Into Realty Collective and the Red Hook Market,2019,Mar 6th,http://www.star-revue.com/a-glimpse-into-realty-collective-and-the-red-hook-market/,,"['Real Estate', 'Red Hook']"
"A New Vision for Brooklyn Bridge Park, by George Fiala",2015,Mar 8th,http://www.star-revue.com/new-vision-brooklyn-bridge-park-george-fiala/,1,"['Brooklyn Bridge Park', 'Real Estate', 'Waterfront']"
"A RED HOOK MANIFESTO, by the Red Hook Star-Revue",2013,Sep 19th,http://www.star-revue.com/a-red-hook-manifesto-by-the-red-hook-star-revue/,,['Editorials']
"A Red Hook Christmas, by Emily Kluver and Noah Phillips",2016,Dec 22nd,http://www.star-revue.com/red-hook-christmas-emily-kluver-noah-phillips/,,['Religious News']
"A Red Hook monument goes silent forever, photos and text by  Micah B. Rubin",2014,Jul 14th,http://www.star-revue.com/a-red-hook-monument-goes-silent-forever-photos-and-text-by-micah-b-rubin/,5,"['Feature Story', 'Real Estate', 'Red Hook Manufacturing']"
"A Red Hook native brings tennis to the Hook, by Nathan Weiser",2017,Apr 17th,http://www.star-revue.com/red-hook-native-brings-tennis-hook-nathan-weiser/,,"['Parks', 'Sports']"
A Salute to “The Wartime Sisters”,2019,Jan 15th,http://www.star-revue.com/a-salute-to-the-wartime-sisters/,,"['Arts', 'Books']"
A Sneak Peek into Regina’s “La Bohème”,2019,Mar 9th,http://www.star-revue.com/a-sneak-peek-into-reginas-la-boheme/,,['Theater']
"A Stand Up Performance,  by Kimberly Gail Price",2014,Mar 29th,http://www.star-revue.com/871/,1,"['Arts', 'Theater']"
A View from the Bridge at The Waterfront Museum,2018,Jun 4th,http://www.star-revue.com/view-bridge-waterfront-museum/,1,['Arts']
"A call to remove the ban, by Jeremy McCool",2017,Feb 7th,http://www.star-revue.com/call-remove-ban-jeremy-mccool/,,"['Op Ed', 'Politics']"
"A chat with Felix Ortiz, Red Hook’s representative in the NY State Assembly",2016,Jan 8th,http://www.star-revue.com/a-chat-with-felix-ortiz-red-hooks-representative-in-the-ny-state-assembly/,,"['Felix Ortiz', 'Politics']"
A debut novelist’s cliché take on Ireland ,2019,Mar 9th,http://www.star-revue.com/a-debut-novelists-cliche-take-on-ireland/,,['Books']
"A legal and moral responsibility, by Hon. Carolyn Demarest",2013,Aug 21st,http://www.star-revue.com/a-legal-and-moral-responsibility-by-hon-carolyn-demarest/,1,['LICH']
A night with two local artists at Bait and Tackle,2017,Jan 26th,http://www.star-revue.com/night-two-local-artists-bait-tackle/,,['Arts']
"A special talent creates a Red Hook institution, by Halley Bondy",2016,Sep 7th,http://www.star-revue.com/special-talent-creates-red-hook-institution-halley-bondy/,,"['Arts', 'Education', 'Kids']"
"A tale of Sandy  Various Voices, One Story,  by A.B. Decker",2013,Oct 28th,http://www.star-revue.com/a-tale-of-sandy-various-voices-one-story-by-a-b-decker/,,['Sandy Related']
"A wish list for Carlos, by George Fiala",2017,Sep 13th,http://www.star-revue.com/wish-list-carlos-george-fiala/,2,"['Local Issues - Red Hook', 'Politics']"
A youth fashion show comes to Red Hook,2018,Jun 11th,http://www.star-revue.com/youth-fashion-show-comes-red-hook/,,['Red Hook Labs']
"AECOM & the Chamber of commerce want to tell us how to live, an essay by George Fiala",2018,Feb 9th,http://www.star-revue.com/aecom-chamber-commerce-want-tell-us-live-essay-george-fiala/,1,"['Port Authority', 'Real Estate', 'Red Hook Containerport', 'Waterfront']"
"Addabbo celebrates life of Richard Brullo, beloved pharmacist, by the Red Hook Star-Revue Staff",2016,Oct 24th,http://www.star-revue.com/addabbo-celebrates-life-richard-brullo-beloved-pharmacist/,2,['Health']
Advertise in our print edition.,2013,Feb 3rd,http://www.star-revue.com/104/,,['Advertising Information']
"After Red Hook Walks, Van Brunt  becomes an obstacle course, by George Fiala",2015,Aug 2nd,http://www.star-revue.com/after-red-hook-walks-van-brunt-becomes-an-obstacle-course-by-george-fiala/,1,"['Transportation', 'Uncategorized']"
