"dcp_name","dcp_ceqrnumber","dcp_projectname","dcp_projectbrief","dcp_publicstatus_simp","dcp_borough","dcp_ulurp_nonulurp","dcp_communitydistricts","actiontypes","dcp_certifiedreferred","dcp_femafloodzonea","dcp_femafloodzonecoastala","dcp_femafloodzoneshadedx","dcp_femafloodzonev","applicants","lastmilestonedate","total_projects","has_centroid","center","ulurpnumbers"
"P2015K0386","18DCP123K","41 Summit Street Rezoning","This is a private application by 41 Summit Street LLC requesting rezoning from M1-1 to R7A/C2-4 and mapping MIH (ZR Appendix F) to facilitate the construction of a seven-story residential building with seven dwelling units at 41 Summit Street in the Columbia Street Waterfront neighborhood, Community District 6, Brooklyn.","Completed","Brooklyn","ULURP","BK06","ZR;ZR;ZR;ZR;ZM;ZM;ZM;ZM","2018-09-24T04:00:00.000Z",false,false,true,false,"41 Summit Street LLC;41 Summit Street LLC;41 Summit Street LLC;41 Summit Street LLC;41 Summit Street LLC;41 Summit Street LLC;41 Summit Street LLC;41 Summit Street LLC","2019-04-01T04:00:00.000Z",309,true,"[-74.0053628456913,40.6829997771725]","[""C180294ZMK"",""N180295ZRK""]"
"P2016K0438","18DOT036K","DOT BK Fleet Services Site Selection & Acquisition","The applicant, New York City Department of Transportation (DOT), in conjunction with the Department of Citywide Administrative Services (DCAS), seeks a site selection and acquisition of property to acquire approximately 123,600 sf of privately-owned property to facilitate use as a vehicle maintenance and repair facility for DOT’s fleet of vehicles at 25 14th Street, in Gowanus, Community District 6, Brooklyn.","Completed","Brooklyn","ULURP","BK06","PC;PC;PC;PC;PC;PC;PC;PC","2018-05-21T04:00:00.000Z",true,false,true,false,"DCAS;DCAS;DCAS;DCAS;DOT;DOT;DOT;DOT","2018-12-17T16:49:56.000Z",309,true,"[-73.9963791702738,40.6702409746607]","[""C180418PCK""]"
"2019K0115",,"Hans S. Christian Memorial Kindergarten","This is an application by the NYC Landmarks Preservation Commission requesting that the CPC review the landmark designation of the Hans S. Christian Memorial Kindergarten per Section 3020.8(b) of the City Charter at 236 President Street, Community District 6, Brooklyn.","Completed","Brooklyn","Non-ULURP","BK06","HI","2018-10-29T20:18:18.000Z",false,false,false,false,"LPC","2018-12-17T05:00:00.000Z",309,false,"[null,null]","[""N190129HIK""]"
"2019K0116",,"238 President Street House","This is an application by the NYC Landmarks Preservation Commission requesting that the CPC review the landmark designation of the 238 President Street House per Section 3020.8(b) of the City Charter at 238 President Street, Community District 6, Brooklyn.","Completed","Brooklyn","Non-ULURP","BK06","HI","2018-10-29T20:23:37.000Z",false,false,false,false,"LPC","2018-12-17T05:00:00.000Z",309,false,"[null,null]","[""N190130HIK""]"
"P2017K0228","18NYP004K","NYPD Evidence Storage Erie Basin (PQ)","This is an application by DCAS and the NYPD for an acquisition of private property to facilitate the continued use of vehicle evidence storage at the Erie Basin Breakwater in Red Hook, Brooklyn, CD 6.","Completed","Brooklyn","ULURP","BK06","PQ;PQ;PQ;PQ;PQ;PQ","2018-02-26T05:00:00.000Z",true,true,false,false,"DCAS;Police Department ;DCAS;DCAS;Police Department ;Police Department ","2018-10-03T04:00:00.000Z",309,true,"[-74.0150992987109,40.6671515182887]","[""C180256PQK""]"
"P2016K0163","18DCP072K","55-63 Summit Street Rezoning","This is a private application by PHD Summit LLC requesting a rezoning from M1-1 to R6B (ZM) and mapping MIH (ZR to Appendix F) to facilitate residential development on four lots (Block 352, Lots 49, 50, 51 & 52) on Summit Street in the Columbia Street Waterfront neighborhood, Community District 6, Brooklyn.","Completed","Brooklyn","ULURP","BK06","ZR;ZR;ZR;ZM;ZM;ZM","2018-02-26T05:00:00.000Z",false,false,true,false,"PHD Summit LLC;PHD Summit LLC;PHD Summit LLC;PHD Summit LLC;PHD Summit LLC;PHD Summit LLC","2018-09-17T04:00:00.000Z",309,true,"[-74.0046378634543,40.6827986223425]","[""C170047ZMK"",""N170046ZRK""]"
"P2016K0087","17BSA038K","280 Richards Street Waterfront (Authorization)","This is a private application by Thor 280 Richards Street LLC requesting Zoning Authorizations pursuant to ZR 62-822(a) and ZR 62-822(b), to modify waterfront public access area requirements, to facilitate a 5-story, approximately 638,000 SF commercial development, at 280 Richards Street in Red Hook, Community District 6, Brooklyn.","Completed","Brooklyn","Non-ULURP","BK06","ZA;ZA;ZC;ZC;ZA;ZA","2018-01-29T05:00:00.000Z",true,true,false,false,"THOR 280 RICHARDS STREET LLC;THOR 280 RICHARDS STREET, LLC;THOR 280 RICHARDS STREET LLC;THOR 280 RICHARDS STREET, LLC;THOR 280 RICHARDS STREET LLC;THOR 280 RICHARDS STREET, LLC","2018-06-28T04:00:00.000Z",309,true,"[-74.0148130193193,40.673311671982]","[""N180157ZAK"",""N180158ZAK"",""N180159ZCK""]"
"P2017K0124","17DEP040K","Gowanus Canal CSO Facility (PC)","This is an application by NYC Department of Environmental Protection (DEP) and Department of Citywide Administrative Services (DCAS) requesting Site Selection and Acquisition of  property by the City to facilitate construction of a new combined sewer overflow (CSO) tank and open space at the head of the Gowanus Canal at 234 Butler Street, 242 Nevins Street, and 270 Nevins Street (staging) in Gowanus, Community District 6, Brooklyn.","Completed","Brooklyn","ULURP","BK06","PC;PC;PC;PC;PC;PC;PC;PC;PC;PC;PC;PC","2017-09-18T04:00:00.000Z",true,false,true,false,"NYC DCAS;NYC DCAS;NYC DEP;NYC DEP;NYC DEP;NYC DEP;NYC DEP;NYC DCAS;NYC DCAS;NYC DCAS;NYC DCAS;NYC DEP","2018-04-16T04:00:00.000Z",309,true,"[-73.9867610933683,40.6808556876536]","[""C180065PCK""]"
"P2016K0053","16HPD079K","120 Fifth Avenue","Department of Housing Preservation and Development seeks a minor change to the Baltic Street Urban Renewal Plan to lift a 40' height limitation in Section C.3.a with respect to Sites 3A, 3B, and 3C in order to facilitate new residential and commercial development on a privately-owned site located at 120 Fifth Avenue in Park Slope, Brooklyn, CD6.","Completed","Brooklyn","Non-ULURP","BK06","HC","2017-06-19T04:00:00.000Z",false,false,false,false,"NYC HPD","2017-08-21T04:00:00.000Z",309,true,"[-73.9790803267976,40.6792333267735]","[""N170451HCK""]"
"P2015K0255","17DCP024K","Red Hook Initiative Special Permit","A private application by the Red Hook Initiative for a special permit pursuant to 74-921(a) of the Zoning Resolution to allow a Community Facility (UG 4A) to legalize and expand in an M1-1 district in the Red Hook neighborhood of Brooklyn, Community District 6.","Completed","Brooklyn","ULURP","BK06","ZS;ZS","2016-10-04T04:00:00.000Z",true,false,true,false,,"2017-03-31T04:00:00.000Z",309,true,"[-74.0044610917798,40.6767862399719]","[""C170057ZSK""]"
