accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"45 Douglas Ct, Staten Island, NY 10304, USA",ChIJ8_sf4PZOwokRkHmQtiRNrvk,"45 Douglas Court, Staten Island, NY, US",40.608527,-74.09169589999998,1,10304,OK,street_address
APPROXIMATE,"Manhattan, New York, NY, USA",ChIJYeZuBI9YwokRjMDs_IEyCwo,"Residential Tower Mechanical Voids Text Amendment, Manhattan, NY, US",40.7830603,-73.9712488,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"217 Main St, Staten Island, NY 10307, USA",ChIJe41FVZnKw4kRNZEBZ286_zg,"SS 217 Main Street, Staten Island, NY, US",40.5099314,-74.24723209999998,1,10307,OK,premise
ROOFTOP,"66 Hudson Blvd E, West, NY 10001, USA",ChIJSbI7fbNZwokRhr1NS-eDyHc,"66 Hudson Boulevard Streetscape Text Amendment, Manhattan, NY, US",40.7556798,-74.00050999999998,1,10001,OK,street_address
APPROXIMATE,"Brooklyn, NY, USA",ChIJCSF8lBZEwokRhngABHRcdoI,"Consolidation of ACS Division of Child Protection, Brooklyn, NY, US",40.6781784,-73.94415790000002,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"43-58 11th St, Long Island City, NY 11101, USA",ChIJC3_TCthYwokR52PPiFdATaU,"TLC Office Space - 31-89 123rd Street, Queens, NY, US",40.7504729,-73.9492906,1,11101,OK,"car_rental,establishment,point_of_interest"
ROOFTOP,"655 Stanley Ave, Brooklyn, NY 11207, USA",ChIJsaeaIAFdwokRZQSvXDPEbhM,"50 Pennsylvania Avenue FRESH Food Store, Brooklyn, NY, US",40.659381,-73.884292,1,11207,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
ROOFTOP,"4455 Amboy Rd, Staten Island, NY 10312, USA",ChIJi7_C46xLwokRaEg7wE5Uiv4,"SS 5165 Amboy Road (2nd renewal), Staten Island, NY, US",40.5449039,-74.1628315,1,10312,OK,"establishment,finance,point_of_interest,post_office"
GEOMETRIC_CENTER,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",ChIJR0lA1VBmwokR8BGfSBOyT-w,"JFK North Site - City Map Change, Queens, NY, US",40.6413111,-73.77813909999998,1,11430,OK,"airport,establishment,point_of_interest"
ROOFTOP,"35 W 57th St, New York, NY 10019, USA",ChIJDTTLC_pYwokRfoXNGgCNfBo,"1345 Ave of the Americas Cafe Cert, Manhattan, NY, US",40.763953,-73.975883,1,10019,OK,"establishment,food,point_of_interest,restaurant"
GEOMETRIC_CENTER,"Clarke Ave, Staten Island, NY 10306, USA",ChIJnSaJQ-5LwokR0IrkDa-29Ao,"SS Clarke Avenue, Staten Island, NY, US",40.5676407,-74.13962640000003,1,10306,OK,route
ROOFTOP,"545 W 30th St, New York, NY 10001, USA",ChIJk_pSnbZZwokRdaibM21XKbw,"Culture Facility Plaza (The Shed) Chair Cert, Manhattan, NY, US",40.7532776,-74.00279619999998,1,10001,OK,"establishment,point_of_interest"
ROOFTOP,"1288 Myrtle Ave, Brooklyn, NY 11221, USA",ChIJWwrdUQVcwokREdvCB0ih0Yk,"One Bushwick Public Access Area Cert - 2, Brooklyn, NY, US",40.6980301,-73.92469859999999,1,11221,OK,"bar,cafe,establishment,food,point_of_interest,store"
ROOFTOP,"601 W 29th St Block 675, New York, NY 10001, USA",EjFCbG9jayA2NzUsIDYwMSBXIDI5dGggU3QsIE5ldyBZb3JrLCBOWSAxMDAwMSwgVVNBIiUaIwoWChQKEgkjbRh3tlnCiRFITAPtGDj0wRIJQmxvY2sgNjc1,"601 West 29th Street (Block 675 - Douglaston), Manhattan, NY, US",40.7530114,-74.00444509999998,2,10001,OK,subpremise
ROOFTOP,"78 Woodland Ave, Staten Island, NY 10308, USA",ChIJvc9RyrtLwokRYwlX3mJXyU8,"SD SS 78 Woodland Ave, Staten Island, NY, US",40.5542733,-74.15466359999998,1,10308,OK,premise
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"M1 Hotel Special Permit, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
ROOFTOP,"6600 Hylan Blvd, Staten Island, NY 10309, USA",ChIJ5S542avKw4kRfMbG5mEtHO8,"SS 6600 Hylan Boulevard, Staten Island, NY, US",40.5083428,-74.22345809999999,1,10309,OK,premise
APPROXIMATE,"Brooklyn, NY, USA",ChIJCSF8lBZEwokRhngABHRcdoI,"Hans S. Christian Memorial Kindergarten, Brooklyn, NY, US",40.6781784,-73.94415790000002,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"238 President St, Brooklyn, NY 11231, USA",ChIJTZ4ynllawokRhHYZQKAnyKM,"238 President Street House, Brooklyn, NY, US",40.6819622,-73.9976257,1,11231,OK,premise
RANGE_INTERPOLATED,"394 Yetman Ave #390, Staten Island, NY 10307, USA",EjEzOTAsIDM5NCBZZXRtYW4gQXZlLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMwNywgVVNBIiQaIgobEhkKFAoSCeHkEXCYysOJEd--htjB6e-TEIoDEgMzOTA,"SS SD 390, 394 Yetman Avenue, Staten Island, NY, US",40.5068264,-74.2425993,1,10307,OK,subpremise
