,borough,neighborhood,building_class_category,tax_class_at_present,block,lot,ease-ment,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,bbl
9276,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,345,40, ,A9,255 PRESIDENT STREET                     ,            ,11231,1,0,1,1983,3600,1931,1,A9,0,2007-07-11,3003450040
9277,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,376,15, ,S1,90 LUQUER STREET                         ,            ,11231,1,1,2,1825,2280,1900,1,S1,0,2007-06-01,3003760015
9278,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,421,59, ,A9,321 SACKETT STREET                       ,            ,11231,1,0,1,1667,2912,1901,1,A9,0,2007-12-11,3004210059
9279,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,421,59, ,A9,321 SACKETT STREET                       ,            ,11231,1,0,1,1667,2912,1901,1,A9,0,2007-10-18,3004210059
9280,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,422,143, ,A5,278 HOYT STREET                          ,            ,11217,1,0,1,1007,3624,2006,1,A5,1795000,2007-06-01,3004220143
9281,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,428,22, ,A4,340 SACKETT STREET                       ,            ,11231,1,0,1,1667,2400,1901,1,A4,0,2007-11-09,3004280022
9282,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,464,61, ,A9,17 4TH STREET                            ,            ,11231,1,0,1,1800,3240,1931,1,A9,0,2007-01-16,3004640061
9284,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,354,44, ,B9,131 SUMMIT STREET                        ,            ,11231,2,0,2,2000,4000,1899,1,B9,1417250,2007-05-23,3003540044
9285,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,356,19, ,B9,216 CARROLL STREET                       ,            ,11231,2,0,2,1667,2960,1899,1,B9,1775000,2007-11-05,3003560019
9286,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,364,34, ,B1,119 RAPELYEA STREET                      ,4,11231,2,0,2,2000,3279,1930,1,B1,1750000,2007-06-01,3003640034
9287,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,370,17, ,B9,26 3 PLACE                               ,            ,11231,2,0,2,1900,2584,1899,1,B9,0,2007-02-19,3003700017
9288,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,370,20, ,B9,32 3 PLACE                               ,            ,11231,2,0,2,1900,2352,1899,1,B9,1445300,2007-08-03,3003700020
9289,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,371,26, ,B1,86A 3RD PLACE                            ,            ,11231,2,0,2,1317,2392,1899,1,B1,1812000,2007-04-20,3003710026
9290,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,371,59, ,B9,67 4TH PLACE                             ,            ,11231,2,0,2,1875,2160,1899,1,B9,0,2007-03-16,3003710059
9291,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,377,23, ,B1,160 LUQUER STREET                        ,            ,11231,2,0,2,1817,3040,1901,1,B1,499395,2007-01-26,3003770023
9292,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,377,46, ,B9,155 NELSON STREET                        ,            ,11231,2,0,2,1650,2016,1901,1,B9,0,2007-03-02,3003770046
9293,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,379,34, ,S2,518 COURT STREET                         ,            ,11231,2,1,3,1600,3000,1931,1,S2,1100000,2007-09-26,3003790034
9294,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,379,38, ,S2,524 COURT STREET                         ,            ,11231,2,1,3,1600,3600,1931,1,S2,1350000,2007-06-19,3003790038
9295,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,381,14, ,B9,144 HUNTINGTON STREET                    ,            ,11231,2,0,2,1667,1776,1901,1,B9,0,2007-04-26,3003810014
9300,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,414,6, ,S2,293 COURT STREET                         ,            ,11231,2,1,3,1552,2100,1931,1,S2,483000,2007-06-06,3004140006
9301,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,414,35, ,B9,58 DOUGLASS STREET                       ,            ,11231,2,0,2,1900,3500,1901,1,B9,2515000,2007-08-01,3004140035
9302,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,415,25, ,B9,92 DOUGLASS STREET                       ,            ,11231,2,0,2,2000,2040,1899,1,B9,999999,2007-01-16,3004150025
9303,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,415,67, ,B1,361 DE GRAW STREET                       ,3,11231,2,0,2,2000,2400,1910,1,B1,1500000,2007-09-18,3004150067
9304,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,422,18, ,B9,380 DEGRAW STREET                        ,3,11231,2,0,2,2000,3680,1899,1,B9,2860000,2007-08-08,3004220018
9305,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,422,26, ,C0,396 DE GRAW STREET                       ,            ,11231,3,0,3,2000,3490,1899,1,B9,600000,2007-07-31,3004220026
9306,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,429,32, ,B3,410 SACKETT STREET                       ,            ,11231,2,0,2,1455,2208,1899,1,B3,0,2007-12-14,3004290032
9307,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,429,59, ,B1,387 UNION STREET                         ,            ,11231,2,0,2,1350,2748,1899,1,B1,0,2007-10-09,3004290059
9308,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,429,69, ,B1,371 UNION STREET                         ,3,11231,2,0,2,1260,2568,1899,1,B1,210000,2007-10-05,3004290069
9309,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,443,3, ,S2,339 SMITH STREET                         ,            ,11231,2,1,3,1498,3224,1931,1,S2,0,2007-10-09,3004430003
9310,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,443,24, ,B1,326A PRESIDENT STREET                    ,            ,11231,2,0,2,1712,3120,1901,1,B1,0,2007-08-09,3004430024
9311,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,443,45, ,B3,346 HOYT STREET                          ,            ,11231,2,0,2,1009,1824,1901,1,B3,1650000,2007-07-11,3004430045
9312,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,460,13, ,B3,28 2ND STREET                            ,            ,11231,2,0,2,1800,2280,1901,1,B3,2350000,2007-08-20,3004600013
9313,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,460,50, ,B9,29 THIRD STREET                          ,            ,11231,2,0,2,1600,2440,1901,1,B9,0,2007-12-13,3004600050
9314,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,470,42, ,B1,189 LUQUER STREET                        ,            ,11231,2,0,2,1000,1848,1899,1,B1,1195000,2007-06-13,3004700042
9315,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,472,41, ,B3,11 DENNETT PLACE                         ,            ,11231,2,0,2,881,1512,1899,1,B3,338000,2007-05-23,3004720041
9316,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,474,46, ,B9,187 HUNTINGTON STREET                    ,            ,11231,2,0,2,2000,2220,1899,1,B9,0,2007-05-22,3004740046
9318,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,344,13, ,C0,202 UNION STREET                         ,            ,11231,3,0,3,2150,3450,1900,1,C0,0,2007-05-04,3003440013
9319,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,344,13, ,C0,202 UNION STREET                         ,            ,11231,3,0,3,2150,3450,1900,1,C0,0,2007-05-04,3003440013
9320,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,350,33, ,C0,434 CLINTON STREET                       ,            ,11231,3,0,3,1073,2816,1899,1,C0,0,2007-11-08,3003500033
9321,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,351,20, ,C0,254 PRESIDENT STREET                     ,            ,11231,3,0,3,2083,3528,1899,1,C0,0,2007-02-07,3003510020
